OXY,EMG,ECG,RSP,OXY,OXY,OXY,
PO2,mV,mV,V,Pulse,BPM,Status,
CH1,CH2,CH3,CH4,CH5,CH9,CH13,
35357,35357,35357,35357,35357,35357,35357,
96.0116,0.415894,-0.58197,8.9798,-5.3142,74.2741,0.00239283,
96.0307,0.450989,-0.139221,8.97919,-5.31118,74.2741,0.00718031,
96.0116,0.486328,0.303284,8.97919,-5.31118,74.2354,0.0119678,
96.002,0.372009,0.683228,8.97858,-5.30664,74.2161,0.00478657,
96.0211,0.252014,0.947754,8.97919,-5.2885,74.2354,0.00718031,
96.0211,0.0612183,1.05609,8.97888,-5.27489,74.1968,0.00957405,
96.002,-0.101379,0.990845,8.97888,-5.26128,74.2354,0.00957405,
96.0116,-0.312378,0.761658,8.97858,-5.2507,74.2354,0.00478657,
96.0116,-0.434814,0.405396,8.97858,-5.24011,74.2161,0.00957405,
96.0116,-0.515747,-0.0264282,8.97888,-5.22802,74.2161,0.00478657,
96.0116,-0.517395,-0.470093,8.97919,-5.22197,74.2354,0.0143615,
96.0116,-0.480164,-0.862854,8.97919,-5.21138,74.1968,0.00957405,
96.0116,-0.319092,-1.15363,8.97858,-5.20382,74.2161,0.0119678,
96.0116,-0.196472,-1.30292,8.97858,-5.19475,74.2354,0.00718031,
95.9924,0.0559692,-1.29114,8.97827,-5.18719,74.2161,0.0119678,
96.0116,0.233276,-1.12402,8.97797,-5.18417,74.1968,0.00718031,
96.002,0.379639,-0.820618,8.97797,-5.18114,74.2354,0.0119678,
96.0116,0.449524,-0.416809,8.97827,-5.1751,74.2161,0.00478657,
96.002,0.47644,0.0302734,8.97766,-5.17207,74.2354,0.00957405,
96.0211,0.460938,0.453735,8.97797,-5.16602,74.2548,0.00957405,
95.9924,0.369507,0.793823,8.97797,-5.16602,74.2354,0.00957405,
96.0211,0.199158,1.0033,8.97766,-5.15997,74.2548,0.0119678,
96.0211,-0.020752,1.0495,8.97766,-5.15997,74.2161,0.0119678,
96.002,-0.174194,0.925842,8.97797,-5.1509,74.2354,0.00957405,
96.0211,-0.387512,0.65033,8.97766,-5.15544,74.2354,0.00718031,
96.0116,-0.48114,0.26355,8.97766,-5.16451,74.2161,0.00957405,
96.0116,-0.516663,-0.180664,8.97736,-5.17661,74.2354,0.00957405,
96.0116,-0.533691,-0.616394,8.97766,-5.18417,74.2354,0.00718031,
96.0116,-0.427368,-0.983398,8.97797,-5.19173,74.2548,0.00957405,
96.0211,-0.27417,-1.23157,8.97705,-5.20534,74.2354,0.00718031,
96.0307,-0.131897,-1.32513,8.97705,-5.2129,74.2354,0.00478657,
96.0211,0.0969849,-1.25446,8.97766,-5.21743,74.2354,0.00239283,
96.0211,0.288147,-1.03107,8.97705,-5.22499,74.2354,0.00957405,
96.0116,0.394653,-0.684509,8.97644,-5.23104,74.2354,0.00478657,
96.0116,0.447632,-0.254089,8.97675,-5.23709,74.2548,0.00718031,
96.002,0.480103,0.191162,8.97705,-5.24314,74.2161,0.0119678,
96.0211,0.44635,0.590576,8.97644,-5.24616,74.2161,0.00478657,
95.9924,0.309692,0.888855,8.97705,-5.2507,74.2354,0.00957405,
96.002,0.153992,1.0401,8.97705,-5.25221,74.2548,0.00718031,
96.002,-0.0764771,1.01605,8.97644,-5.25372,74.2161,0.0119678,
96.0116,-0.282654,0.818237,8.97675,-5.25675,74.2548,0.0143615,
96.002,-0.429749,0.47644,8.97675,-5.26431,74.2161,0.00957405,
96.0211,-0.532715,0.0438232,8.97675,-5.26431,74.2354,0.00718031,
96.002,-0.548279,-0.415955,8.97675,-5.26582,74.2548,0.00718031,
96.0307,-0.549622,-0.837891,8.97705,-5.26884,74.2161,0.00718031,
96.002,-0.355591,-1.16852,8.97705,-5.26884,74.2161,0.00478657,
96.002,-0.239929,-1.36627,8.97675,-5.28094,74.2354,0.00957405,
96.0116,-0.0175171,-1.40283,8.97675,-5.29455,74.2161,0.00718031,
96.002,0.157166,-1.27637,8.97705,-5.30967,74.2548,0.00478657,
96.002,0.336853,-1.00244,8.97705,-5.32327,74.2161,0.00957405,
96.0211,0.413635,-0.615417,8.97675,-5.33386,74.2548,0.00957405,
96.002,0.478455,-0.161255,8.97614,-5.34596,74.2161,0.00957405,
96.0116,0.474548,0.293396,8.97675,-5.35503,74.2354,0.00718031,
95.9924,0.392273,0.688477,8.97675,-5.36561,74.2354,0.0119678,
95.9924,0.23822,0.972107,8.97736,-5.37166,74.2354,0.0119678,
96.002,0.0646362,1.10303,8.97675,-5.3762,74.2161,0.0143615,
95.9924,-0.0982666,1.06439,8.97644,-5.38376,74.2161,0.0119678,
96.0116,-0.331421,0.868225,8.97675,-5.3898,74.2354,0.0119678,
96.0116,-0.427612,0.549011,8.97705,-5.39434,74.2354,0.0119678,
95.9924,-0.537109,0.15741,8.97644,-5.4019,74.2548,0.0119678,
96.0116,-0.531494,-0.243591,8.97705,-5.40492,74.2548,0.00718031,
96.0211,-0.46991,-0.586182,8.97766,-5.40795,74.2161,0.00957405,
96.0211,-0.320068,-0.812988,8.97644,-5.414,74.2741,0.00718031,
96.002,-0.183105,-0.884033,8.97705,-5.41551,74.2161,0.00718031,
96.002,0.0533447,-0.790283,8.97766,-5.42004,74.2354,0.00239283,
96.0211,0.216797,-0.551208,8.97736,-5.41853,74.2548,0.00957405,
